epoch,train_loss,val_loss,val_roc_auc_score
1,0.5840512447757646,0.5143585801124573,0.8200808839919753
2,0.5118578326073475,0.579602062702179,0.8364169028436773
3,0.47721240745158866,0.439977765083313,0.8350316848708722
4,0.44512857939116657,0.5276463031768799,0.8332431084079015
5,0.4101504241116345,0.4920284152030945,0.8231697608508741
6,0.3526464782189578,0.4497421979904175,0.8288327017588553
7,0.33176850999007,0.5210069417953491,0.8258818159623814
8,0.26020749617600814,0.5337831377983093,0.8213228035538005
9,0.21477708946622442,0.6168663501739502,0.8239764778312052
10,0.17907915857358603,0.5301151275634766,0.8284611873600187
11,0.17009020948898979,0.651854395866394,0.810612574170196
12,0.10153128091405961,0.6603075861930847,0.8128469679117707
