epoch,train_loss,val_loss,val_roc_auc_score
1,0.6255618014505931,0.5898906588554382,0.8037938174064422
2,0.5113413545583921,0.6007603406906128,0.8248230822319965
3,0.4453886603079145,0.6206772327423096,0.8223920724358511
4,0.3628905510736836,0.634335994720459,0.8179626901801625
5,0.2650449751092801,0.7234756946563721,0.8022795867283347
6,0.1945978511302244,0.6675688028335571,0.7824915790232698
7,0.1446131264073922,0.878454327583313,0.7900060775244904
8,0.105522709303639,0.892608642578125,0.7976441866933115
9,0.07958617107388341,0.9612614512443542,0.7825018799122364
10,0.06666362711361476,1.1074579954147339,0.7902172457483081
11,0.0668184286817753,1.3435314893722534,0.7950020086733486
12,0.032675310449237244,1.7426607608795166,0.7874463066162609
