epoch,train_loss,val_loss,val_roc_auc_score
1,0.5860528924885918,0.5219444036483765,0.8157348094508657
2,0.5069629197027169,0.5147249698638916,0.8209105045722509
3,0.4772148843489441,0.43213170766830444,0.8219085085642668
4,0.4397662210113862,0.5701012015342712,0.8190943694007335
5,0.3961966432192746,0.5617479085922241,0.8093986445713224
6,0.34607943162029864,0.4991706609725952,0.8011651116371906
7,0.2983181809969977,0.5867071747779846,0.7961576846307385
8,0.2402206266043233,0.7239590287208557,0.7996274892076313
9,0.18987508270086026,0.8163788914680481,0.7761918024416283
10,0.17503543837982066,0.7661424875259399,0.7913649445295455
11,0.1328195720911026,0.8716979026794434,0.7859629578053197
12,0.1075810557468703,1.0247377157211304,0.7686081325720651
13,0.08186779592880139,1.1163746118545532,0.7675753144873045
