epoch,train_loss,val_loss,val_roc_auc_score
1,0.6081969048532229,0.6828709840774536,0.8120551303577498
2,0.49872951221371453,0.6019732356071472,0.8167729375045066
3,0.43588140991235536,0.5894513726234436,0.8174167430649265
4,0.35670555258790654,0.6333606243133545,0.8223354175465343
5,0.27422759537067676,0.7882592678070068,0.779612480557072
6,0.20617503322483527,0.7712242007255554,0.7930242379917387
7,0.15276744030416012,0.971928596496582,0.7994674440404208
8,0.11564298652644668,0.8670708537101746,0.7756363374159191
9,0.09336171511630897,0.8975304961204529,0.7957333717899855
10,0.067248221149572,0.9693829417228699,0.8020220645041668
11,0.05288871486372377,1.0676285028457642,0.7867664479444574
12,0.036365084159663795,1.310638427734375,0.7921538128740511
13,0.04929313658078807,1.1137782335281372,0.7880360325096055
14,0.033417469584881995,1.097257375717163,0.7715365836071653
