epoch,train_loss,val_loss,val_roc_auc_score
1,0.5902780765105807,0.5337634682655334,0.8111975813512705
2,0.49880461312002605,0.5491914749145508,0.8215473995405803
3,0.4530525484255382,0.48242947459220886,0.8329350322932869
4,0.4023697405225701,0.552096426486969,0.8172261766190421
5,0.33013879052466816,0.49673157930374146,0.8160080964987279
6,0.2748299063966861,0.5905206799507141,0.8210220542032777
7,0.20483274850994349,0.772088348865509,0.7899545730796567
8,0.15789964211188137,0.7418901920318604,0.786400766386139
9,0.12943696189996978,0.7648066282272339,0.7894137764089042
10,0.11154248058936367,0.8137242197990417,0.7898155110786061
11,0.07565902227846284,1.073165774345398,0.7733443896208243
12,0.04594062941609919,1.1609320640563965,0.7695176093696885
13,0.05769572807623753,1.0869014263153076,0.7801172241164414
