epoch,train_loss,val_loss,val_roc_auc_score
1,0.623909221496433,0.5852932929992676,0.8284134212230253
2,0.5023408097913489,0.6269689798355103,0.8301276948062286
3,0.4348665389115922,0.6027754545211792,0.8322506342281524
4,0.34886624818318523,0.7168667912483215,0.8270388179473298
5,0.27755472010176163,0.6636276245117188,0.8190087995839039
6,0.20324257227184717,0.7791311740875244,0.81175365410948
7,0.1539384914431139,0.7284080386161804,0.7959802142045875
8,0.10926946606195997,0.7818651795387268,0.7964101094375271
9,0.09045538874536874,1.0386286973953247,0.783590209003386
10,0.07259801618920392,0.9387906193733215,0.785439819974737
11,0.04477045025964799,1.00242018699646,0.7799201774777357
12,0.048036927455541445,1.161892294883728,0.7912221762252014
13,0.04461161594144869,1.1876393556594849,0.7935388338693755
